年份,地区,知名AI模型数量
2003,美国,1
2003,中国,0
2003,欧洲,0
2004,美国,2
2004,中国,0
2004,欧洲,0
2005,美国,5
2005,中国,0
2005,欧洲,0
2006,美国,3
2006,中国,0
2006,欧洲,0
2007,美国,6
2007,中国,0
2007,欧洲,0
2008,美国,10
2008,中国,0
2008,欧洲,0
2009,美国,8
2009,中国,0
2009,欧洲,0
2010,美国,11
2010,中国,0
2010,欧洲,0
2011,美国,9
2011,中国,1
2011,欧洲,2
2012,美国,10
2012,中国,2
2012,欧洲,3
2013,美国,13
2013,中国,4
2013,欧洲,4
2014,美国,21
2014,中国,5
2014,欧洲,8
2015,美国,36
2015,中国,6
2015,欧洲,10
2016,美国,37
2016,中国,8
2016,欧洲,15
2017,美国,36
2017,中国,4
2017,欧洲,18
2018,美国,59
2018,中国,8
2018,欧洲,19
2019,美国,40
2019,中国,14
2019,欧洲,12
2020,美国,76
2020,中国,10
2020,欧洲,15
2021,美国,45
2021,中国,20
2021,欧洲,9
2022,美国,55
2022,中国,15
2022,欧洲,11
2023,美国,61
2023,中国,21
2023,欧洲,13
2024,美国,40
2024,中国,15
2024,欧洲,3 
