OUNT EXITED Locations,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,2,1,2,1,3,2,4,4,3,4,8,17,18,26,52,74,39,93,142,151,192,477,186,59,88
China,0,0,0,2,1,0,0,0,1,0,0,3,0,0,5,30,23,33,77,46,41,53,29,26,15
United Kingdom,0,0,0,0,1,0,2,1,0,0,3,4,0,3,7,7,10,12,12,14,16,39,18,6,7
Germany,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,5,1,0,7,6,4,27,6,5,2
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,7,6,26,10,3,1
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,4,3,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,1,4,4,4,15,4,3,0
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,6,3,2,5,7,3,1
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,6,3,0,2,2
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
Singapore (HQ Region),0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,2,1,4,8,4,2,1
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,6,6,7,3,1,3
France,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,3,5,3,16,8,1,5
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,3,6,10,11,4,1,0
Switzerlan­d,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,4,5,2,2,5,5,1,2
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,1,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,6,8,7,39,22,1,6
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,5,3,10,2,1,1
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,5,1,1,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,2,1,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,4,2,1,2
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,1,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,3,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,3,0,1
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0
Netherland­s,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,3,0,4,2,4,8,3,0,2
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,2,0,0
Poland,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,5,0,0,1
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,3,3,0,0
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
Russia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0
Philippine­s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
