任务,准确度,全面性,事实性,鲁棒性,"公平性、偏见和毒性评估",部署指标,"校准和不确定性"
提升医疗知识,222,91,44,33,16,10,3
进行诊断,100,38,11,11,14,4,0
教育患者,88,68,32,22,18,3,2
提出治疗建议,47,22,9,8,3,1,0
与患者沟通,35,29,8,15,22,1,0
护理协调和规划,36,24,5,5,7,1,0
分诊患者,24,7,5,2,8,8,0
进行文献回顾,18,7,3,2,2,2,0
为研究合成数据,16,7,2,3,2,2,0
生成医疗报告,8,8,2,0,3,0,0
进行医学研究,8,7,3,3,3,0,0
提供异步护理,8,5,3,3,1,1,0
管理临床知识,5,5,1,1,0,0,0
临床笔记记录,6,2,1,1,0,0,1
生成临床转诊单,3,0,0,0,0,0,0
加强外科手术,3,3,1,1,0,0,0
生物医学数据挖掘,2,0,0,0,0,0,0
生成计费代码,1,0,0,0,0,0,0
开具处方,1,0,0,0,0,0,0
问题回答*,398,194,71,61,54,14,5
文本分类*,29,10,6,5,10,2,0
信息提取*,29,12,8,5,4,6,0
摘要总结*,29,21,7,3,8,0,1
对话式对话*,6,6,1,1,5,1,0
翻译*,5,1,2,2,1,2,0 
